MONTH,DAY,YEAR,WEEKDAY,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
Jun,14,2016,Tuesday,26,21,30,27,41,85,145,221,190,209,252,283,293,336,436,633,748,571,306,250,150,153,78,63
Jun,15,2016,Wednesday,23,22,29,23,45,92,141,237,183,238,224,326,381,340,449,611,799,657,389,226,210,213,110,85
Jun,16,2016,Thursday,57,28,34,24,46,98,171,225,225,200,223,300,353,373,472,594,752,685,393,255,239,177,134,88
Jun,17,2016,Friday,57,34,41,25,43,86,120,231,227,250,325,395,465,442,512,619,767,639,479,261,264,197,188,114
Jun,18,2016,Saturday,77,51,27,12,23,30,66,150,197,283,380,446,483,432,416,432,434,361,303,286,205,170,155,92
Jun,19,2016,Sunday,90,66,39,21,16,18,46,76,177,263,310,428,390,406,494,442,431,357,317,241,188,118,177,105
Jun,20,2016,Monday,36,16,17,13,35,72,164,207,187,209,299,268,261,325,453,558,706,594,360,210,171,137,117,79
Jun,21,2016,Tuesday,33,16,21,24,49,84,157,221,191,215,242,267,294,347,401,571,792,600,352,229,228,191,140,88
Jun,22,2016,Wednesday,35,24,35,24,50,98,153,218,182,218,239,236,316,338,434,603,780,624,418,226,198,172,95,68
Jun,23,2016,Thursday,30,24,30,21,47,93,172,211,201,223,222,307,308,330,494,604,749,640,366,273,231,159,95,85
Jun,24,2016,Friday,28,24,34,18,53,88,138,212,220,271,330,352,408,411,581,684,806,793,583,351,255,223,146,114
Jun,25,2016,Saturday,56,36,22,14,25,36,68,147,200,251,363,416,428,445,456,407,438,326,298,249,207,157,105,82
Jun,26,2016,Sunday,49,40,27,9,13,25,34,74,147,201,346,443,568,470,442,451,414,315,315,257,161,135,67,54
Jun,27,2016,Monday,25,14,12,14,61,80,152,215,172,197,226,297,315,339,433,505,716,609,360,233,189,137,89,85
Jun,28,2016,Tuesday,30,16,31,25,61,84,162,214,171,240,262,275,310,309,409,589,704,628,354,234,206,206,84,94
Jun,29,2016,Wednesday,19,27,23,22,59,83,172,225,175,243,264,278,342,393,496,555,757,701,438,255,241,187,125,76
Jun,30,2016,Thursday,35,28,28,18,73,85,156,243,186,239,234,294,341,376,431,567,771,659,432,276,200,242,104,86
Jul,1,2016,Friday,42,16,29,29,47,67,140,228,235,300,378,450,520,585,623,689,877,766,684,375,286,198,122,97
Jul,2,2016,Saturday,60,44,23,10,15,16,60,82,176,306,385,542,525,527,477,479,442,428,356,244,226,150,87,82
Jul,3,2016,Sunday,46,40,23,11,7,27,38,74,137,257,400,468,588,568,599,435,494,379,384,270,224,113,80,78
Jul,4,2016,Monday,54,24,17,6,12,21,41,71,125,217,302,435,352,329,327,311,321,262,216,196,145,112,61,50
Jul,5,2016,Tuesday,24,18,7,10,47,77,142,193,191,197,281,319,365,353,449,558,653,617,378,210,170,175,104,60
Jul,6,2016,Wednesday,34,25,16,18,65,92,148,189,185,219,263,256,325,308,433,531,756,710,393,273,227,181,87,68
Jul,7,2016,Thursday,26,19,31,18,62,87,140,202,157,203,288,268,341,347,456,583,714,694,388,277,211,143,87,77
Jul,8,2016,Friday,31,22,29,12,54,92,158,212,216,253,313,332,412,456,512,620,825,822,579,296,221,194,132,114
Jul,9,2016,Saturday,53,42,19,18,33,29,79,197,230,295,395,467,454,494,437,436,431,391,328,302,231,193,126,89
Jul,10,2016,Sunday,68,49,34,9,14,35,47,94,115,174,258,343,450,444,378,380,373,340,297,235,176,142,61,39
Jul,11,2016,Monday,24,16,9,19,65,80,142,201,180,238,265,265,308,325,421,511,726,585,316,194,169,141,88,72
Jul,12,2016,Tuesday,31,19,33,19,50,94,149,197,179,218,215,277,317,326,448,587,731,635,392,261,188,207,112,79
Jul,13,2016,Wednesday,33,24,36,22,58,90,162,225,169,245,274,260,301,336,411,581,794,680,393,223,261,162,105,79
Jul,14,2016,Thursday,35,23,38,24,60,93,158,223,213,241,243,296,321,327,436,599,831,637,361,249,221,147,100,106
Jul,15,2016,Friday,52,33,40,21,35,81,142,227,183,233,316,367,390,427,544,649,765,792,576,355,244,285,175,107
Jul,16,2016,Saturday,54,29,31,12,22,46,80,160,253,303,375,428,417,403,420,403,418,395,327,267,210,201,123,93
